Title,Price,Rating,Discount,Source,URL
"Samsung Galaxy S24 Snapdragon 8 Gen 3 5G (Marble Gray, 256 GB) (8 GB RAM)",Rs.47996,N/A,(40% off),Amazon,N/A
Samsung,Rs.44863,N/A,(40% off),Amazon,N/A
Samsung,Rs.37920,N/A,(37% off),Amazon,N/A
Samsung,Rs.74994,N/A,(25% off),Amazon,N/A
Samsung,Rs.38999,N/A,(35% off),Amazon,N/A
Samsung,Rs.93999,N/A,(30% off),Amazon,N/A
Samsung,Rs.72490,N/A,(28% off),Amazon,N/A
Samsung,Rs.799,N/A,(53% off),Amazon,N/A
Samsung,Rs.30999,N/A,(37% off),Amazon,N/A
Samsung,Rs.48999,N/A,(26% off),Amazon,N/A
iQOO,Rs.38998,N/A,(5% off),Amazon,N/A
Samsung,N/A,N/A,(1 new offer),Amazon,N/A
Samsung,Rs.20999,N/A,(38% off),Amazon,N/A
Samsung,Rs.39999,N/A,N/A,Amazon,N/A
Samsung,Rs.70990,N/A,(29% off),Amazon,N/A
Samsung,Rs.74999,N/A,(7% off),Amazon,N/A
Samsung,Rs.9999,N/A,(29% off),Amazon,N/A
OnePlus,Rs.72998,N/A,(19% off),Amazon,N/A
OnePlus,Rs.39999,N/A,(11% off),Amazon,N/A
vivo,Rs.40999,N/A,(11% off),Amazon,N/A
OnePlus,Rs.52999,N/A,(12% off),Amazon,N/A
Samsung,Rs.20988,N/A,(14% off),Amazon,N/A
Samsung,Rs.69299,N/A,(11% off),Amazon,N/A
OnePlus,Rs.36999,N/A,(3% off),Amazon,N/A
Samsung,Rs.174999,N/A,N/A,Amazon,N/A
Redmi,Rs.22999,N/A,(15% off),Amazon,N/A
OnePlus,Rs.55999,N/A,(11% off),Amazon,N/A
Samsung,Rs.16999,N/A,(33% off),Amazon,N/A
iQOO,Rs.72998,N/A,(5% off),Amazon,N/A
Samsung,Rs.46999,N/A,(18% off),Amazon,N/A
Samsung,Rs.68999,N/A,(37% off),Amazon,N/A
Samsung,Rs.52490,N/A,(42% off),Amazon,N/A
Amazon Brand - Solimo,Rs.179,N/A,(55% off),Amazon,N/A
