Title,URL,Price_num,Rating_num,Source
"Apple iPhone Air (Space Black, 256 GB)",https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-air-space-black-256-gb/p/itm98092611013dd?pid=MOBHFN6YV7VZGNFZ&lid=LSTMOBHFN6YV7VZGNFZJN00XB&marketplace=FLIPKART&q=iphone+17&store=tyy%2F4io&srno=s_3_72&otracker=search&fm=organic&iid=ef595b25-d681-467c-9d68-8e398ebf4525.MOBHFN6YV7VZGNFZ.SEARCH&ppt=sp&ppn=sp&ssid=yutbajrj5s0000001764304605751&qH=c9eeb2d6cc488f0b,114900.0,4.8,Flipkart
"Apple iPhone Air (Cloud White, 256 GB)",https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-air-cloud-white-256-gb/p/itmc4bff56c63f9c?pid=MOBHFN6YHDTXGGH7&lid=LSTMOBHFN6YHDTXGGH7QWIL0O&marketplace=FLIPKART&q=iphone+17&store=tyy%2F4io&srno=s_3_65&otracker=search&fm=organic&iid=ef595b25-d681-467c-9d68-8e398ebf4525.MOBHFN6YHDTXGGH7.SEARCH&ppt=sp&ppn=sp&ssid=yutbajrj5s0000001764304605751&qH=c9eeb2d6cc488f0b,114900.0,4.8,Flipkart
"Apple iPhone 15 (Pink, 128 GB)",https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-pink-128-gb/p/itm7579ed94ca647?pid=MOBGTAGPNMZA5PU5&lid=LSTMOBGTAGPNMZA5PU5AVZNIR&marketplace=FLIPKART&q=iphone+17&store=tyy%2F4io&srno=s_3_67&otracker=search&fm=organic&iid=ef595b25-d681-467c-9d68-8e398ebf4525.MOBGTAGPNMZA5PU5.SEARCH&ppt=sp&ppn=sp&ssid=yutbajrj5s0000001764304605751&qH=c9eeb2d6cc488f0b,51999.0,4.6,Flipkart
"Apple iPhone 15 (Black, 128 GB)",https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WCTBCFM&marketplace=FLIPKART&q=iphone+17&store=tyy%2F4io&srno=s_3_61&otracker=search&fm=organic&iid=ef595b25-d681-467c-9d68-8e398ebf4525.MOBGTAGPTB3VS24W.SEARCH&ppt=sp&ppn=sp&ssid=yutbajrj5s0000001764304605751&qH=c9eeb2d6cc488f0b,51999.0,4.6,Flipkart
"Apple iPhone 15 Plus (Black, 128 GB)",https://www.flipkart.comhttps://www.flipkart.com/apple-iphone-15-plus-black-128-gb/p/itme3a53984760fb?pid=MOBGTAGPNRQA7CS3&lid=LSTMOBGTAGPNRQA7CS3YEKCQO&marketplace=FLIPKART&q=iphone+17&store=tyy%2F4io&srno=s_3_56&otracker=search&fm=organic&iid=ef595b25-d681-467c-9d68-8e398ebf4525.MOBGTAGPNRQA7CS3.SEARCH&ppt=sp&ppn=sp&ssid=yutbajrj5s0000001764304605751&qH=c9eeb2d6cc488f0b,59999.0,4.6,Flipkart
